"date","type","locale","locale_name","description","transferred"
2014-07-01,"Event","National","Ecuador","Mundial de futbol Brasil: Octavos de Final",FALSE
2014-07-03,"Holiday","Local","El Carmen","Cantonizacion de El Carmen",FALSE
2014-07-03,"Holiday","Local","Santo Domingo","Fundacion de Santo Domingo",FALSE
2014-07-04,"Event","National","Ecuador","Mundial de futbol Brasil: Cuartos de Final",FALSE
2014-07-05,"Event","National","Ecuador","Mundial de futbol Brasil: Cuartos de Final",FALSE
2014-07-08,"Event","National","Ecuador","Mundial de futbol Brasil: Semifinales",FALSE
2014-07-09,"Event","National","Ecuador","Mundial de futbol Brasil: Semifinales",FALSE
2014-07-12,"Event","National","Ecuador","Mundial de futbol Brasil: Tercer y cuarto lugar",FALSE
2014-07-13,"Event","National","Ecuador","Mundial de futbol Brasil: Final",FALSE
2014-07-23,"Holiday","Local","Cayambe","Cantonizacion de Cayambe",FALSE
2014-07-24,"Additional","Local","Guayaquil","Fundacion de Guayaquil-1",FALSE
2014-07-25,"Holiday","Local","Guayaquil","Fundacion de Guayaquil",FALSE
2014-08-05,"Holiday","Local","Esmeraldas","Fundacion de Esmeraldas",FALSE
2014-08-10,"Holiday","National","Ecuador","Primer Grito de Independencia",FALSE
2014-08-15,"Holiday","Local","Riobamba","Fundacion de Riobamba",FALSE
2014-08-24,"Holiday","Local","Ambato","Fundacion de Ambato",FALSE
2014-09-28,"Holiday","Local","Ibarra","Fundacion de Ibarra",FALSE
2014-10-07,"Holiday","Local","Quevedo","Cantonizacion de Quevedo",FALSE
2014-10-09,"Holiday","National","Ecuador","Independencia de Guayaquil",TRUE
2014-10-10,"Transfer","National","Ecuador","Traslado Independencia de Guayaquil",FALSE
2014-11-02,"Holiday","National","Ecuador","Dia de Difuntos",FALSE
2014-11-03,"Holiday","National","Ecuador","Independencia de Cuenca",FALSE
2014-11-06,"Holiday","Regional","Santo Domingo de los Tsachilas","Provincializacion de Santo Domingo",FALSE
2014-11-07,"Holiday","Regional","Santa Elena","Provincializacion Santa Elena",FALSE
2014-11-10,"Holiday","Local","Guaranda","Independencia de Guaranda",FALSE
2014-11-11,"Holiday","Local","Latacunga","Independencia de Latacunga",FALSE
2014-11-12,"Holiday","Local","Ambato","Independencia de Ambato",FALSE
2014-11-28,"Event","National","Ecuador","Black Friday",FALSE
