m0,m1,m2,m3,cloud,temp,humidity,ground_press,wind_speed,wind_dir,rain,snow,dew_point,vis,uv_idx,azimuth,elevation,month,day,hour,year
0,0,0,0,6,20.03,93,1009,3.01,162,0,0,18.3333,16.0934,0,6.70428,-31.5296,6,19,1,2022
0,0,0,0,7,19.88,95,1009,3.16,159,0,0,18.3333,16.0934,0,22.1964,-28.4404,6,19,2,2022
0,0,0,0,17,19.99,96,1008,2.92,161,0,0,18.3333,16.0934,0,35.9194,-22.4374,6,19,3,2022
0,0,0,0,100,20.19,96,1008,2.79,157,0,0,17.7778,16.0934,0,47.5577,-14.2214,6,19,4,2022
0,0,0,0,100,20.34,95,1008,2.74,156,0,0,18.3333,16.0934,0,57.3782,-4.4447,6,19,5,2022
0,0,0,0,100,20.45,94,1008,2.55,144,0,0,18.8889,16.0934,0,65.8614,6.39544,6,19,6,2022
1.84569,7.99585,0.223429,2.53696,100,20.65,94,1009,1.98,160,0,0,19.4444,16.0934,0,73.5196,17.9461,6,19,7,2022
12.1427,12.9595,7.62878,11.6249,100,20.84,93,1008,2.44,168,0,0,19.4444,16.0934,1,80.8871,29.9536,6,19,8,2022
16.7491,17.2484,18.1117,16.6563,100,20.92,93,1008,3.21,184,0,0,18.8889,16.0934,1,88.6491,42.2134,6,19,9,2022
24.4652,27.4803,32.2159,30.2017,100,21.09,92,1008,2.87,187,0,0,18.3333,16.0934,3,98.0436,54.5033,6,19,10,2022
32.4885,39.2311,45.8314,45.4765,100,21.51,89,1008,2.37,187,0,0,18.3333,16.0934,5,112.342,66.4014,6,19,11,2022
50.9095,57.3688,54.7892,60.2924,88,22.34,84,1008,1.61,179,0,0,18.3333,16.0934,11,143.612,76.3123,6,19,12,2022
57.6032,60.0244,51.6923,55.4945,72,23.17,81,1007,2.53,192,0,0,17.7778,16.0934,11,207.104,77.44,6,19,13,2022
55.9935,57.9255,53.5617,53.7681,67,23.89,78,1006,4.47,185,0,0,18.8889,16.0934,8,244.082,68.3532,6,19,14,2022
