"½Ã°£´ë","w1","w2","w3","w4","w5"
"00",0.225033535316157,0.236948980063833,0.180535639946344,0.195929506452657,0.161552338221009
"01",0.218365268906785,0.221135663373931,0.188069451607358,0.204830668729586,0.167598947382341
"02",0.209518031524542,0.216454130741678,0.195424157926054,0.217334997841584,0.161268681966142
"03",0.21031843089909,0.209813645849054,0.216589214252632,0.232877639063077,0.130401069936147
"04",0.19769992153452,0.2195615386797,0.20053129638208,0.226963764074155,0.155243479329546
"05",0.196811893368363,0.213404017973498,0.207070549109144,0.212424024437286,0.170289515111709
"06",0.209910903077729,0.212663931710432,0.20150723799541,0.219127826071241,0.156790101145188
"07",0.227193839602141,0.217896364140184,0.19048521883705,0.210115653302609,0.154308924118016
"08",0.229392982643906,0.235868072278411,0.172169600970372,0.2049731542427,0.157596189864612
"09",0.205885987677206,0.21596666843211,0.218120509153823,0.220751019543456,0.139275815193404
"10",0.192380952380952,0.219047619047619,0.219047619047619,0.196666666666667,0.172857142857143
"11",0.2,0.2,0.2,0.2,0.2
"12",0.2,0.2,0.2,0.2,0.2
"13",0.2,0.2,0.2,0.2,0.2
"14",0.2,0.2,0.2,0.2,0.2
"15",0.2,0.2,0.2,0.2,0.2
"16",0.2,0.2,0.2,0.2,0.2
"17",0.2,0.2,0.2,0.2,0.2
"18",0.2,0.2,0.2,0.2,0.2
"19",0.2,0.2,0.2,0.2,0.2
"20",0.2,0.2,0.2,0.2,0.2
"21",0.2,0.2,0.2,0.2,0.2
"22",0.2,0.2,0.2,0.2,0.2
"23",0.227434406792626,0.21592212958005,0.197774038093781,0.209534919299319,0.149334506234223
